epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.857,2.03319,3.90047,1.36075,0.24974,0.1915,0.14373,0.09406,1.79254,2.33708,1.14896,0.000127569,0.000127569,0.000127569
2,996.141,1.73033,2.31907,1.19375,0.56662,0.23827,0.27371,0.18346,1.67359,1.84847,1.11374,0.000252736,0.000252736,0.000252736
3,1475.99,1.67541,1.95538,1.16392,0.47335,0.3465,0.34457,0.22537,1.60662,1.601,1.10585,0.000374726,0.000374726,0.000374726
4,1951.89,1.62549,1.75605,1.14707,0.49853,0.38866,0.35197,0.22383,1.59984,1.51347,1.09826,0.000370707,0.000370707,0.000370707
5,2425.83,1.58115,1.61374,1.12187,0.59652,0.39638,0.4027,0.25946,1.56792,1.37065,1.07795,0.000365942,0.000365942,0.000365942
6,2927.78,1.53195,1.48042,1.1057,0.64827,0.40169,0.42036,0.27794,1.54346,1.32823,1.07875,0.000361178,0.000361178,0.000361178
7,3457.79,1.53601,1.41794,1.09076,0.58738,0.39801,0.45226,0.29065,1.55716,1.27244,1.07955,0.000356414,0.000356414,0.000356414
8,4028.11,1.50157,1.34723,1.09067,0.62269,0.44028,0.47183,0.30944,1.52414,1.21445,1.06432,0.000351649,0.000351649,0.000351649
9,4604.45,1.47655,1.31078,1.07374,0.58348,0.45831,0.46691,0.30184,1.54434,1.21979,1.0676,0.000346885,0.000346885,0.000346885
10,5176.7,1.46647,1.27901,1.07928,0.65233,0.50431,0.48739,0.31763,1.50987,1.1479,1.0706,0.000342121,0.000342121,0.000342121
11,5753.25,1.43236,1.20682,1.06599,0.74684,0.42748,0.50936,0.33349,1.51061,1.15115,1.06504,0.000337356,0.000337356,0.000337356
12,6332.28,1.41974,1.14171,1.06133,0.66393,0.47188,0.51415,0.3414,1.48967,1.12332,1.05028,0.000332592,0.000332592,0.000332592
13,6907.01,1.39938,1.11911,1.04305,0.77512,0.44969,0.53709,0.35063,1.48684,1.10592,1.06361,0.000327827,0.000327827,0.000327827
14,7435.6,1.40507,1.11229,1.04755,0.65237,0.5392,0.56429,0.3742,1.48512,1.08918,1.05848,0.000323063,0.000323063,0.000323063
15,470.837,1.51067,1.62743,1.20647,0.65432,0.44773,0.49253,0.307,1.59337,1.39148,1.05119,0.000318299,0.000318299,0.000318299
16,927.028,1.48079,1.37504,1.05753,0.69516,0.4847,0.52455,0.34227,1.5435,1.2995,1.04623,0.000313534,0.000313534,0.000313534
17,1383.89,1.42629,1.18845,1.0412,0.67122,0.4928,0.53771,0.35047,1.50962,1.15746,1.04871,0.00030877,0.00030877,0.00030877
18,1852.54,1.38093,1.07084,1.03488,0.7027,0.46967,0.51464,0.33564,1.47569,1.10249,1.05091,0.000304006,0.000304006,0.000304006
19,2339.83,1.34117,1.0166,1.01985,0.68507,0.48797,0.53722,0.3469,1.4744,1.05705,1.0435,0.000299241,0.000299241,0.000299241
20,2813.34,1.33183,0.96633,1.01492,0.69403,0.49404,0.55655,0.35831,1.47064,1.00447,1.04702,0.000294477,0.000294477,0.000294477
21,3277.16,1.3213,0.94051,1.00718,0.68691,0.51408,0.55559,0.37211,1.45257,0.99728,1.04222,0.000289712,0.000289712,0.000289712
22,460.911,1.65829,2.25212,1.95193,0.71066,0.40059,0.47201,0.28991,1.57418,1.5064,1.25473,0.000284948,0.000284948,0.000284948
23,899.221,1.43875,1.31893,1.14161,0.63138,0.50296,0.54347,0.34702,1.54856,1.23696,1.1396,0.000280184,0.000280184,0.000280184
24,1329.86,1.34681,1.02436,1.03802,0.6068,0.57009,0.55836,0.35157,1.51956,1.12097,1.09264,0.000275419,0.000275419,0.000275419
25,1753.71,1.29707,0.92716,1.00813,0.62122,0.55626,0.55909,0.37103,1.4894,1.04873,1.06424,0.000270655,0.000270655,0.000270655
26,2183.25,1.25841,0.88809,0.98875,0.66752,0.50229,0.53835,0.35502,1.49038,1.05577,1.06284,0.000265891,0.000265891,0.000265891
27,2610.87,1.24395,0.83947,0.9826,0.66454,0.50888,0.53977,0.34852,1.5199,1.02103,1.06576,0.000261126,0.000261126,0.000261126
28,3036.53,1.24519,0.82746,0.97389,0.75887,0.49421,0.5611,0.36549,1.482,1.00541,1.05593,0.000256362,0.000256362,0.000256362
29,3460.83,1.29599,0.86626,0.99358,0.67306,0.53647,0.57282,0.37288,1.46526,0.97086,1.04582,0.000251597,0.000251597,0.000251597
30,3892.49,1.27728,0.86758,0.98889,0.72174,0.56254,0.5865,0.3789,1.46904,0.97293,1.04632,0.000246833,0.000246833,0.000246833
31,4318.01,1.2711,0.85891,0.99257,0.71858,0.52801,0.58253,0.38486,1.47904,0.98247,1.06185,0.000242069,0.000242069,0.000242069
32,4740.9,1.25121,0.8411,0.98685,0.70357,0.56808,0.57668,0.37497,1.46809,0.98645,1.05856,0.000237304,0.000237304,0.000237304
33,5170.94,1.24303,0.80862,0.9876,0.74509,0.55256,0.60798,0.39884,1.43473,0.97767,1.04229,0.00023254,0.00023254,0.00023254
34,5601.05,1.22274,0.79057,0.97172,0.72217,0.529,0.58512,0.38485,1.44209,0.96174,1.04432,0.000227776,0.000227776,0.000227776
35,6032.54,1.23647,0.80619,0.98113,0.79538,0.51157,0.59983,0.40366,1.45325,0.94792,1.0429,0.000223011,0.000223011,0.000223011
36,6463.47,1.26565,0.83346,0.99415,0.70589,0.57786,0.60294,0.40129,1.44581,0.94558,1.04298,0.000218247,0.000218247,0.000218247
37,6895.04,1.22632,0.79347,0.98801,0.68416,0.54778,0.57727,0.37843,1.45463,0.94143,1.05086,0.000213482,0.000213482,0.000213482
38,7329.14,1.25099,0.81006,0.99573,0.72268,0.53783,0.58257,0.3928,1.43654,0.93591,1.04276,0.000208718,0.000208718,0.000208718
39,7766.57,1.23099,0.79908,0.98236,0.68966,0.53011,0.57075,0.37813,1.43107,0.94847,1.03156,0.000203954,0.000203954,0.000203954
40,8201.71,1.22569,0.80096,0.98669,0.71944,0.56004,0.58259,0.39011,1.42848,0.90912,1.03321,0.000199189,0.000199189,0.000199189
41,8642.43,1.20816,0.77739,0.96551,0.72994,0.53933,0.58474,0.39134,1.40918,0.90037,1.02926,0.000194425,0.000194425,0.000194425
42,9082.19,1.22244,0.78317,0.98389,0.70596,0.56124,0.58066,0.38063,1.43005,0.90909,1.04075,0.000189661,0.000189661,0.000189661
43,9521.05,1.21134,0.77707,0.98502,0.75224,0.53904,0.59619,0.39714,1.42596,0.89948,1.03533,0.000184896,0.000184896,0.000184896
44,9958.73,1.21915,0.7778,0.97701,0.69723,0.55899,0.59598,0.39774,1.40641,0.90073,1.02881,0.000180132,0.000180132,0.000180132
45,10395.5,1.18958,0.74716,0.96865,0.76895,0.53983,0.59446,0.39283,1.40784,0.8839,1.0313,0.000175367,0.000175367,0.000175367
46,10830.7,1.16772,0.72757,0.96725,0.77832,0.54551,0.60698,0.40835,1.41028,0.88325,1.03836,0.000170603,0.000170603,0.000170603
47,11268.4,1.17888,0.73283,0.9648,0.74228,0.55145,0.59498,0.40243,1.4034,0.87992,1.03284,0.000165839,0.000165839,0.000165839
48,11705.8,1.18167,0.71649,0.96279,0.70365,0.58038,0.59959,0.40512,1.4109,0.9008,1.03771,0.000161074,0.000161074,0.000161074
49,12144.9,1.17564,0.72157,0.9747,0.69035,0.54353,0.57678,0.38086,1.41362,0.89751,1.03951,0.00015631,0.00015631,0.00015631
50,12593.2,1.13496,0.69574,0.95204,0.70677,0.56416,0.58962,0.40122,1.40488,0.87707,1.03259,0.000151546,0.000151546,0.000151546
51,13040.6,1.17403,0.70271,0.95271,0.69251,0.57655,0.60548,0.41236,1.39615,0.87505,1.0294,0.000146781,0.000146781,0.000146781
52,13489.9,1.15339,0.68861,0.94699,0.75181,0.56562,0.62011,0.42074,1.39176,0.86386,1.03337,0.000142017,0.000142017,0.000142017
53,13937.9,1.14788,0.67994,0.94961,0.77892,0.52637,0.61878,0.42599,1.40828,0.88047,1.03965,0.000137252,0.000137252,0.000137252
54,14387.1,1.14436,0.69497,0.95481,0.67762,0.58057,0.61422,0.41636,1.41391,0.86959,1.03853,0.000132488,0.000132488,0.000132488
55,14839.3,1.1512,0.67926,0.94986,0.72426,0.56983,0.61299,0.41521,1.40197,0.86353,1.03474,0.000127724,0.000127724,0.000127724
56,15290,1.12505,0.65706,0.94413,0.7559,0.56461,0.61408,0.41663,1.40016,0.86185,1.0363,0.000122959,0.000122959,0.000122959
57,15740.8,1.11799,0.6686,0.9456,0.72658,0.57299,0.60686,0.41242,1.3966,0.86971,1.02902,0.000118195,0.000118195,0.000118195
58,16190.9,1.12665,0.65586,0.94965,0.73291,0.53725,0.5978,0.40148,1.41113,0.87211,1.03506,0.000113431,0.000113431,0.000113431
59,16642.2,1.10906,0.64967,0.94441,0.79135,0.53514,0.61247,0.41195,1.38482,0.86096,1.0243,0.000108666,0.000108666,0.000108666
60,17092.2,1.10503,0.64958,0.94778,0.68036,0.56723,0.59884,0.40686,1.38848,0.86471,1.02713,0.000103902,0.000103902,0.000103902
61,17547.2,1.10785,0.6558,0.93937,0.72176,0.5461,0.59601,0.40757,1.40029,0.86723,1.03015,9.91375e-05,9.91375e-05,9.91375e-05
62,17997.9,1.10174,0.64263,0.94136,0.69918,0.58543,0.61575,0.42024,1.39006,0.85735,1.03212,9.43731e-05,9.43731e-05,9.43731e-05
63,18442.9,1.06506,0.62664,0.94224,0.7545,0.55243,0.61035,0.42339,1.38331,0.8501,1.02565,8.96087e-05,8.96087e-05,8.96087e-05
64,18891.3,1.09472,0.63514,0.94202,0.68845,0.59242,0.61512,0.41659,1.38222,0.83918,1.02922,8.48444e-05,8.48444e-05,8.48444e-05
65,19341,1.09726,0.65368,0.93601,0.73288,0.53434,0.60065,0.40967,1.39445,0.8522,1.03329,8.008e-05,8.008e-05,8.008e-05
66,19784.5,1.08464,0.62085,0.93145,0.71484,0.55638,0.60188,0.40557,1.38744,0.85207,1.03379,7.53156e-05,7.53156e-05,7.53156e-05
67,20231.8,1.07792,0.61481,0.93082,0.6993,0.56015,0.59401,0.40236,1.38455,0.85202,1.03198,7.05513e-05,7.05513e-05,7.05513e-05
68,20689.4,1.05885,0.61234,0.9227,0.73665,0.55529,0.61123,0.41171,1.38016,0.83905,1.03292,6.57869e-05,6.57869e-05,6.57869e-05
69,21147.2,1.06979,0.61931,0.93262,0.74345,0.5576,0.60955,0.4132,1.3896,0.83848,1.03683,6.10225e-05,6.10225e-05,6.10225e-05
70,21601.5,1.06176,0.60269,0.92985,0.70417,0.57027,0.60457,0.4105,1.40011,0.85018,1.03549,5.62581e-05,5.62581e-05,5.62581e-05
71,22046.8,1.06489,0.59217,0.92949,0.71481,0.56045,0.59669,0.39565,1.41595,0.86531,1.04175,5.14938e-05,5.14938e-05,5.14938e-05
