epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.015,2.03196,2.74183,1.66096,0.22782,0.1799,0.12088,0.05335,2.26847,2.7265,1.57026,0.0701327,0.00331858,0.00331858
2,97.037,2.01731,2.35583,1.63746,0.42007,0.13185,0.09261,0.03746,2.22916,2.65721,1.51328,0.0401316,0.00665079,0.00665079
3,146.266,1.90803,2.20677,1.58158,0.25765,0.18457,0.12876,0.05465,2.11805,2.22191,1.42733,0.010126,0.00997848,0.00997848
4,204.617,1.84348,2.04557,1.50729,0.46355,0.2037,0.19875,0.09525,1.94823,1.8195,1.33893,0.00998474,0.00998474,0.00998474
5,252.27,1.75538,1.87097,1.48108,0.39536,0.23442,0.18973,0.0977,1.91087,1.8555,1.33153,0.00997288,0.00997288,0.00997288
6,300.025,1.72825,1.79074,1.4325,0.30625,0.26954,0.23812,0.12282,1.85134,1.72038,1.29267,0.00995765,0.00995765,0.00995765
7,346.054,1.66896,1.7451,1.43497,0.54666,0.27657,0.28592,0.15296,1.84591,1.67537,1.30072,0.00993906,0.00993906,0.00993906
8,394.613,1.65169,1.68186,1.39814,0.47647,0.31686,0.28736,0.15237,1.76208,1.54479,1.25915,0.00991711,0.00991711,0.00991711
9,441.172,1.63532,1.6011,1.38734,0.49849,0.29495,0.31113,0.15949,1.81091,1.52003,1.27102,0.00989183,0.00989183,0.00989183
10,487.596,1.63517,1.59394,1.38953,0.65793,0.24438,0.28789,0.15183,1.83705,1.72233,1.29747,0.00986323,0.00986323,0.00986323
11,533.613,1.61029,1.51755,1.36564,0.43973,0.31469,0.30085,0.15379,1.76845,1.51934,1.24487,0.00983133,0.00983133,0.00983133
12,579.792,1.58482,1.50085,1.36421,0.54598,0.35348,0.36709,0.20079,1.70082,1.44563,1.23053,0.00979616,0.00979616,0.00979616
13,630.726,1.57715,1.47437,1.36818,0.52491,0.34644,0.35539,0.18589,1.72985,1.38961,1.22802,0.00975773,0.00975773,0.00975773
14,677.086,1.54948,1.4581,1.34129,0.52284,0.33175,0.32584,0.18087,1.7203,1.47915,1.2314,0.00971608,0.00971608,0.00971608
15,724.609,1.54978,1.39875,1.33777,0.55285,0.32121,0.34276,0.18485,1.7256,1.46347,1.23192,0.00967122,0.00967122,0.00967122
16,771.103,1.54249,1.3778,1.30747,0.56241,0.3709,0.37317,0.19621,1.73911,1.37893,1.23768,0.0096232,0.0096232,0.0096232
17,817.424,1.51637,1.38404,1.33356,0.52745,0.37763,0.36872,0.20318,1.71461,1.34021,1.21524,0.00957205,0.00957205,0.00957205
18,864.07,1.50346,1.33263,1.29958,0.6882,0.38933,0.4291,0.23334,1.66875,1.27759,1.20035,0.0095178,0.0095178,0.0095178
19,910.67,1.47939,1.28915,1.2987,0.54408,0.38175,0.36499,0.20036,1.68338,1.36121,1.19775,0.00946048,0.00946048,0.00946048
20,957.271,1.47376,1.26103,1.28079,0.4903,0.38504,0.38317,0.20681,1.70498,1.31002,1.22512,0.00940014,0.00940014,0.00940014
21,1003.86,1.47649,1.28214,1.29147,0.63265,0.38468,0.42098,0.23665,1.66703,1.26346,1.20542,0.00933683,0.00933683,0.00933683
22,1052.81,1.44994,1.24471,1.28104,0.55573,0.40278,0.37715,0.2059,1.66143,1.29419,1.20202,0.00927057,0.00927057,0.00927057
23,1101.03,1.47252,1.26261,1.28118,0.65336,0.40996,0.44638,0.24735,1.66172,1.21848,1.1977,0.00920142,0.00920142,0.00920142
24,1147.3,1.4603,1.23415,1.2726,0.62041,0.38716,0.39368,0.21215,1.69866,1.26931,1.20811,0.00912942,0.00912942,0.00912942
25,1269.04,1.45216,1.23764,1.28281,0.66779,0.38996,0.42974,0.24481,1.64269,1.20197,1.18447,0.00905463,0.00905463,0.00905463
26,1318.28,1.41729,1.19747,1.27057,0.60437,0.41304,0.4085,0.23032,1.63576,1.20683,1.1983,0.0089771,0.0089771,0.0089771
27,1364.29,1.42826,1.18161,1.26023,0.63507,0.41314,0.41678,0.23248,1.63016,1.21982,1.18716,0.00889687,0.00889687,0.00889687
28,1414.32,1.41075,1.16205,1.25674,0.66879,0.43066,0.45618,0.25161,1.66709,1.19394,1.19627,0.00881401,0.00881401,0.00881401
29,1461.33,1.40767,1.1541,1.25075,0.59659,0.42329,0.46176,0.25408,1.62,1.15736,1.17969,0.00872857,0.00872857,0.00872857
30,1507.74,1.4034,1.12127,1.24005,0.59708,0.4544,0.46207,0.26223,1.59976,1.14067,1.18384,0.0086406,0.0086406,0.0086406
31,1554.2,1.39172,1.11203,1.23855,0.69729,0.42997,0.47611,0.27501,1.60304,1.12289,1.18073,0.00855018,0.00855018,0.00855018
32,1600.78,1.38339,1.09996,1.24533,0.67453,0.44124,0.45016,0.24239,1.68433,1.15418,1.20674,0.00845736,0.00845736,0.00845736
33,1650.57,1.41634,1.12755,1.22739,0.70312,0.43033,0.47914,0.27249,1.57908,1.10936,1.16239,0.0083622,0.0083622,0.0083622
34,1696.91,1.36688,1.08411,1.22669,0.57627,0.4612,0.46772,0.26575,1.60499,1.12795,1.17442,0.00826477,0.00826477,0.00826477
35,1751.09,1.37847,1.08176,1.23409,0.66289,0.39093,0.44463,0.25237,1.57963,1.1323,1.1534,0.00816514,0.00816514,0.00816514
36,1799.54,1.36035,1.07074,1.23607,0.55337,0.43854,0.45987,0.26123,1.60007,1.12343,1.17625,0.00806337,0.00806337,0.00806337
37,1857.47,1.37039,1.07039,1.22527,0.69424,0.43828,0.4799,0.27338,1.6023,1.12455,1.16485,0.00795954,0.00795954,0.00795954
38,1906.06,1.36465,1.06184,1.22259,0.57751,0.48211,0.49529,0.27722,1.59783,1.06362,1.16101,0.00785371,0.00785371,0.00785371
39,1952.75,1.32702,1.02639,1.22105,0.62361,0.45344,0.45254,0.26097,1.56337,1.12065,1.15861,0.00774596,0.00774596,0.00774596
40,1998.97,1.35516,1.04148,1.21613,0.6529,0.46945,0.48741,0.27321,1.5875,1.10905,1.17483,0.00763637,0.00763637,0.00763637
41,2116.17,1.34757,1.04352,1.22548,0.65688,0.44173,0.44411,0.24722,1.6199,1.11917,1.17727,0.007525,0.007525,0.007525
42,2167.32,1.32554,1.00442,1.20212,0.70085,0.45059,0.49323,0.28477,1.57226,1.07034,1.16302,0.00741194,0.00741194,0.00741194
43,2219.13,1.34396,1.03598,1.20559,0.6253,0.46722,0.51122,0.28903,1.56567,1.05412,1.173,0.00729725,0.00729725,0.00729725
44,2267.09,1.34002,1.00331,1.20111,0.58701,0.43108,0.47489,0.27784,1.55155,1.0727,1.15162,0.00718103,0.00718103,0.00718103
45,2359.37,1.32004,0.99907,1.19891,0.57796,0.49816,0.51652,0.30476,1.54482,1.03758,1.15849,0.00706335,0.00706335,0.00706335
46,2405.59,1.33915,0.9761,1.20705,0.62273,0.4564,0.51368,0.28716,1.59264,1.03593,1.16742,0.00694428,0.00694428,0.00694428
47,2456.15,1.30659,0.95961,1.18592,0.61061,0.468,0.51363,0.28781,1.56848,1.04699,1.15442,0.00682392,0.00682392,0.00682392
48,2505.74,1.29413,0.94975,1.18818,0.69127,0.47805,0.53793,0.31198,1.57108,1.03112,1.16842,0.00670234,0.00670234,0.00670234
49,2552.35,1.33433,0.99577,1.20996,0.61528,0.48299,0.51344,0.28805,1.54661,0.99933,1.15457,0.00657963,0.00657963,0.00657963
50,2598.54,1.28969,0.93538,1.1827,0.65335,0.46842,0.52633,0.30292,1.5447,0.99641,1.15107,0.00645588,0.00645588,0.00645588
51,2649.06,1.29327,0.93369,1.19537,0.67839,0.50418,0.52661,0.29175,1.55764,1.00576,1.15324,0.00633115,0.00633115,0.00633115
52,2695.48,1.26696,0.91822,1.16669,0.61147,0.50633,0.52503,0.3057,1.51784,0.97854,1.14093,0.00620555,0.00620555,0.00620555
53,2742.57,1.27849,0.91328,1.17415,0.60892,0.51846,0.52897,0.30962,1.52097,0.98749,1.13444,0.00607916,0.00607916,0.00607916
